,model,RMSE,MAPE,DA,R2
0,7_8,2.8939993381500244,2.164301633834839,43.808049535603715,0.8770859241485596
1,7_16,1.521722435951233,1.031779408454895,44.27244582043344,0.9660159349441528
2,7_32,1.5238759517669678,1.058856725692749,44.11764705882353,0.9659196734428406
3,7_64,1.2336325645446777,0.8351044058799744,44.11764705882353,0.9776654839515686
4,14_8,3.080650568008423,2.258784055709839,43.72093023255814,0.8603016138076782
5,14_16,1.7252306938171387,1.1828856468200684,43.87596899224806,0.9561872482299805
6,14_32,1.4570190906524658,1.015807032585144,45.58139534883721,0.9687509536743164
7,14_64,1.263842225074768,0.8775804042816162,44.34108527131783,0.9764878749847412
8,30_8,8.52462387084961,6.276608467102051,45.01557632398754,-0.07948994636535645
9,30_16,1.8962581157684326,1.3096561431884766,43.925233644859816,0.9465849995613098
10,30_32,1.4818131923675537,0.9836769700050354,44.54828660436137,0.9673821330070496
11,30_64,1.2659600973129272,0.8603618741035461,44.0809968847352,0.9761927723884583
